0.00, 3916, 0, 0
0.02, 4472, 0, 200
0.01, 4468, 0, 168
0.01, 4544, 0, 168
0.03, 4572, 0, 160
0.04, 4628, 0, 160
0.03, 4484, 0, 160
0.05, 4452, 0, 160
0.02, 4476, 0, 160
0.02, 4596, 0, 160
0.03, 4400, 0, 160
0.04, 4528, 0, 160
0.07, 4452, 0, 160
0.05, 4516, 0, 160
0.06, 4532, 0, 160
0.06, 4404, 0, 160
0.07, 4536, 0, 160
0.08, 4584, 0, 160
0.10, 4576, 0, 160
0.10, 4396, 0, 160
0.13, 4640, 0, 160
0.11, 4392, 0, 160
0.12, 4424, 0, 160
0.13, 4440, 0, 160
0.17, 4336, 0, 160
0.15, 4472, 0, 160
0.16, 4548, 0, 160
0.21, 4496, 0, 160
0.21, 4420, 0, 160
0.23, 4564, 0, 160
0.24, 4580, 0, 160
0.23, 4480, 0, 160
0.24, 4464, 0, 160
0.25, 4492, 0, 160
0.27, 4484, 0, 160
0.31, 4608, 0, 224
0.33, 4536, 0, 160
0.35, 4452, 0, 160
0.36, 4424, 0, 160
0.36, 4424, 0, 160
0.39, 4528, 0, 160
0.41, 4548, 0, 160
0.42, 4476, 0, 160
0.42, 4460, 0, 160
0.47, 4480, 0, 160
0.49, 4428, 0, 160
0.51, 4680, 0, 160
0.52, 4484, 0, 160
0.55, 4500, 0, 160
0.57, 4544, 0, 160
0.56, 4488, 0, 160
0.61, 4520, 0, 160
0.63, 4452, 0, 224
0.65, 4632, 0, 160
0.66, 4604, 0, 160
0.70, 4612, 0, 160
0.72, 4520, 0, 160
0.75, 4540, 0, 160
0.74, 4448, 0, 160
0.80, 4480, 0, 160
0.82, 4592, 0, 160
0.83, 4464, 0, 160
0.87, 4596, 0, 160
0.89, 4432, 0, 160
0.92, 4632, 0, 160
0.95, 4608, 0, 160
0.95, 4556, 0, 160
1.01, 4376, 0, 160
1.01, 4580, 0, 160
1.03, 4432, 0, 160
1.06, 4580, 0, 160
1.12, 4464, 0, 160
1.11, 4464, 0, 160
1.14, 4428, 0, 160
1.20, 4504, 0, 160
1.20, 4628, 0, 160
1.23, 4468, 0, 160
1.29, 4540, 0, 160
1.32, 4568, 0, 160
1.37, 4472, 0, 160
1.35, 4404, 0, 160
1.41, 4572, 0, 160
1.46, 4520, 0, 160
1.47, 4384, 0, 256
1.51, 4508, 0, 160
1.53, 4408, 0, 160
1.59, 4656, 0, 160
1.61, 4580, 0, 160
1.64, 4588, 0, 224
1.67, 4584, 0, 160
1.71, 4524, 0, 160
1.73, 4640, 0, 160
1.77, 4492, 0, 160
1.78, 4328, 0, 160
1.85, 4496, 0, 160
1.90, 4580, 0, 160
1.94, 4448, 0, 160
1.96, 4460, 0, 160
2.01, 4456, 0, 160
2.00, 4484, 0, 160
2.06, 4396, 0, 160
